epoch,accuracy,loss,val_accuracy,val_loss
1,0.7694043517112732,1.3963675498962402,0.9387387633323669,0.2018376886844635
2,0.9070397019386292,0.33657553791999817,0.9441441297531128,0.14572463929653168
3,0.9323104619979858,0.197198748588562,0.9513513445854187,0.1285296231508255
4,0.9481046795845032,0.13910970091819763,0.9603603482246399,0.10663741081953049
5,0.9629963636398315,0.09990750998258591,0.9675675630569458,0.0957837849855423
6,0.9706678986549377,0.07899308204650879,0.953153133392334,0.11741524189710617
7,0.9724729061126709,0.07661806046962738,0.9639639854431152,0.11874615401029587
8,0.9814981818199158,0.05674300715327263,0.9711712002754211,0.10829409211874008
9,0.9769855737686157,0.0574447326362133,0.9621621370315552,0.11271478980779648
10,0.9833032488822937,0.04024576023221016,0.9747747778892517,0.0985301285982132
11,0.9846570491790771,0.046526335179805756,0.976576566696167,0.09110834449529648
12,0.9837545156478882,0.041873376816511154,0.9657657742500305,0.09339800477027893
13,0.9882671236991882,0.03837129473686218,0.9657657742500305,0.10219539701938629
14,0.9855595827102661,0.03827435523271561,0.9621621370315552,0.09913048148155212
15,0.9891696572303772,0.03248095512390137,0.9711712002754211,0.09472564607858658
16,0.9923285245895386,0.02417147532105446,0.9729729890823364,0.09529795497655869
17,0.9882671236991882,0.02799026481807232,0.9675675630569458,0.09956861287355423
18,0.9918772578239441,0.02703072316944599,0.9711712002754211,0.09032578021287918
19,0.9914259910583496,0.025516880676150322,0.9711712002754211,0.09649189561605453
20,0.9918772578239441,0.027629472315311432,0.9693693518638611,0.11202213168144226
